example_id                                     | status | run_time        |
---------------------------------------------- | ------ | --------------- |
./spec/rack/url_canonicalizer_spec.rb[1:1:1]   | passed | 0.00016 seconds |
./spec/rack/url_canonicalizer_spec.rb[1:1:2]   | passed | 0.00032 seconds |
./spec/rack/url_canonicalizer_spec.rb[1:1:3]   | passed | 0.00022 seconds |
./spec/rack/url_canonicalizer_spec.rb[1:1:4]   | passed | 0.00021 seconds |
./spec/rack/url_canonicalizer_spec.rb[1:2:1:1] | passed | 0.00019 seconds |
./spec/rack/url_canonicalizer_spec.rb[1:2:2:1] | passed | 0.00012 seconds |
./spec/rack/url_canonicalizer_spec.rb[1:3:1:1] | passed | 0.0003 seconds  |
./spec/rack/url_canonicalizer_spec.rb[1:3:2:1] | passed | 0.0004 seconds  |
./spec/rack/url_canonicalizer_spec.rb[1:4:1:1] | passed | 0.00014 seconds |
./spec/rack/url_canonicalizer_spec.rb[1:4:1:2] | passed | 0.00018 seconds |
./spec/rack/url_canonicalizer_spec.rb[1:4:2:1] | passed | 0.00018 seconds |
./spec/rack/url_canonicalizer_spec.rb[1:5:1]   | passed | 0.00025 seconds |
./spec/rack/url_canonicalizer_spec.rb[1:5:2]   | passed | 0.00058 seconds |
./spec/rack/url_canonicalizer_spec.rb[1:6:1:1] | passed | 0.0001 seconds  |
./spec/rack/url_canonicalizer_spec.rb[1:6:1:2] | passed | 0.00014 seconds |
./spec/rack/url_canonicalizer_spec.rb[1:6:2:1] | passed | 0.00016 seconds |
./spec/rack/url_canonicalizer_spec.rb[1:7:1]   | passed | 0.00011 seconds |
./spec/rack/url_canonicalizer_spec.rb[1:8:1]   | passed | 0.0002 seconds  |
./spec/rack/url_canonicalizer_spec.rb[1:9:1]   | passed | 0.00047 seconds |
